gene_id,GE,Pattern_2
ENSG00000162636,0.0,16
ENSG00000109118,1.0,32
ENSG00000177023,0.0,3
ENSG00000108395,1.0,17
ENSG00000132581,1.0,33
ENSG00000196793,0.0,33
ENSG00000143556,0.0,3
ENSG00000141446,1.0,19
ENSG00000164897,1.0,16
ENSG00000198643,0.0,13
ENSG00000101425,0.0,10
ENSG00000232112,1.0,30
ENSG00000206190,0.0,11
ENSG00000151498,1.0,29
ENSG00000141748,0.0,10
ENSG00000243729,0.0,17
ENSG00000181803,0.0,5
ENSG00000115808,1.0,16
ENSG00000133398,1.0,33
ENSG00000224877,1.0,24
ENSG00000173611,1.0,29
ENSG00000169057,1.0,10
ENSG00000166450,1.0,31
ENSG00000182831,1.0,27
ENSG00000239713,0.0,9
ENSG00000006740,1.0,17
ENSG00000188672,0.0,7
ENSG00000158195,1.0,17
ENSG00000172869,1.0,16
ENSG00000119242,0.0,19
ENSG00000228804,0.0,12
ENSG00000169155,1.0,27
ENSG00000128965,0.0,18
ENSG00000041982,1.0,19
ENSG00000118939,1.0,23
ENSG00000092853,1.0,27
ENSG00000244414,0.0,6
ENSG00000139116,1.0,12
ENSG00000119616,1.0,31
ENSG00000229809,0.0,21
ENSG00000180549,0.0,7
ENSG00000142700,0.0,11
ENSG00000073737,0.0,13
ENSG00000164707,0.0,3
ENSG00000165675,1.0,21
ENSG00000115073,1.0,25
ENSG00000138777,1.0,21
ENSG00000218357,0.0,18
ENSG00000160867,1.0,18
ENSG00000113361,1.0,18
ENSG00000095932,0.0,7
ENSG00000176834,0.0,12
ENSG00000157349,1.0,13
ENSG00000168067,1.0,31
ENSG00000083307,0.0,15
ENSG00000171772,0.0,21
ENSG00000183323,0.0,28
ENSG00000167634,0.0,3
ENSG00000102683,0.0,17
ENSG00000204946,1.0,32
ENSG00000117305,0.0,11
ENSG00000100302,0.0,10
ENSG00000074047,1.0,28
ENSG00000120280,0.0,2
ENSG00000086730,0.0,6
ENSG00000174950,0.0,11
ENSG00000143502,0.0,7
ENSG00000162711,0.0,11
ENSG00000212724,0.0,9
