gene_id,GE,Pattern_2
ENSG00000109118,1.0,38
ENSG00000177023,0.0,1
ENSG00000116857,1.0,19
ENSG00000144015,0.0,0
ENSG00000205307,1.0,7
ENSG00000164871,0.0,0
ENSG00000128040,0.0,3
ENSG00000196793,0.0,13
ENSG00000060491,1.0,25
ENSG00000132840,0.0,11
ENSG00000176209,1.0,28
ENSG00000143183,1.0,20
ENSG00000143556,1.0,4
ENSG00000141446,1.0,24
ENSG00000136485,1.0,38
ENSG00000198643,0.0,11
ENSG00000101425,0.0,1
ENSG00000172403,0.0,20
ENSG00000140307,1.0,19
ENSG00000196092,0.0,6
ENSG00000189164,0.0,13
ENSG00000177963,1.0,35
ENSG00000163638,0.0,29
ENSG00000204653,0.0,21
ENSG00000181803,0.0,2
ENSG00000115808,1.0,26
ENSG00000075407,1.0,26
ENSG00000133398,1.0,25
ENSG00000173611,0.0,19
ENSG00000166450,0.0,18
ENSG00000147813,1.0,20
ENSG00000156395,0.0,5
ENSG00000161921,1.0,18
ENSG00000158553,0.0,6
ENSG00000182831,1.0,42
ENSG00000100625,0.0,36
ENSG00000119688,0.0,28
ENSG00000204592,1.0,26
ENSG00000161649,0.0,3
ENSG00000135446,1.0,21
ENSG00000006638,0.0,5
ENSG00000006740,0.0,9
ENSG00000131171,1.0,26
ENSG00000188672,0.0,1
ENSG00000158195,1.0,26
ENSG00000186442,0.0,9
ENSG00000172869,1.0,25
ENSG00000119242,1.0,23
ENSG00000041982,1.0,30
ENSG00000118939,1.0,26
ENSG00000165775,0.0,23
ENSG00000139116,1.0,30
ENSG00000095739,1.0,31
ENSG00000169583,0.0,12
ENSG00000180549,0.0,6
ENSG00000142700,0.0,12
ENSG00000128524,1.0,26
ENSG00000129493,1.0,28
ENSG00000154328,1.0,21
ENSG00000244509,1.0,24
ENSG00000181036,0.0,11
ENSG00000091490,1.0,20
ENSG00000164300,1.0,24
ENSG00000187642,0.0,7
ENSG00000218357,0.0,5
ENSG00000113361,0.0,10
ENSG00000157349,1.0,9
ENSG00000169906,0.0,6
ENSG00000083307,1.0,36
ENSG00000128228,1.0,22
ENSG00000151615,0.0,9
ENSG00000171772,0.0,4
ENSG00000170955,1.0,27
ENSG00000242259,1.0,25
ENSG00000102683,0.0,6
ENSG00000117305,1.0,21
ENSG00000000419,1.0,29
ENSG00000120280,0.0,3
ENSG00000086730,0.0,11
ENSG00000165762,0.0,13
ENSG00000135002,1.0,20
ENSG00000177570,0.0,16
ENSG00000174950,0.0,11
ENSG00000108599,1.0,19
ENSG00000143502,0.0,5
ENSG00000184113,0.0,9
ENSG00000172365,0.0,6
ENSG00000166126,1.0,10
ENSG00000091831,0.0,19
ENSG00000174720,1.0,17
ENSG00000132507,1.0,27
ENSG00000176293,0.0,13
ENSG00000170579,0.0,8
ENSG00000108518,1.0,34
ENSG00000069188,1.0,27
ENSG00000065609,0.0,13
ENSG00000204498,1.0,20
