gene_id,GE,Pattern_1
ENSG00000107362,1.0,26
ENSG00000110244,0.0,13
ENSG00000087495,0.0,18
ENSG00000069943,1.0,28
ENSG00000121552,1.0,28
ENSG00000153237,0.0,21
ENSG00000124356,1.0,31
ENSG00000186081,1.0,36
ENSG00000170248,1.0,35
ENSG00000180660,0.0,18
ENSG00000183527,1.0,34
ENSG00000140526,1.0,33
ENSG00000137944,1.0,33
ENSG00000157211,0.0,12
ENSG00000101638,0.0,12
ENSG00000100426,1.0,35
ENSG00000150722,0.0,24
ENSG00000170525,1.0,35
ENSG00000176155,1.0,35
ENSG00000186230,1.0,37
ENSG00000196510,1.0,28
ENSG00000166803,1.0,22
ENSG00000185246,1.0,33
ENSG00000187950,0.0,11
ENSG00000181722,0.0,11
ENSG00000113211,0.0,6
ENSG00000154359,1.0,29
ENSG00000165376,0.0,24
ENSG00000164334,0.0,18
ENSG00000169684,0.0,17
ENSG00000100749,1.0,28
ENSG00000171617,1.0,34
ENSG00000168757,0.0,0
ENSG00000110801,1.0,30
ENSG00000101230,1.0,18
ENSG00000184330,0.0,18
ENSG00000008382,1.0,30
ENSG00000072195,0.0,19
ENSG00000139211,1.0,32
ENSG00000255374,0.0,21
ENSG00000182040,0.0,9
ENSG00000100012,0.0,16
ENSG00000144681,1.0,28
ENSG00000173559,1.0,36
ENSG00000160293,1.0,31
ENSG00000132953,1.0,32
ENSG00000121274,1.0,33
ENSG00000133816,1.0,38
ENSG00000141026,1.0,41
ENSG00000157106,1.0,22
ENSG00000141580,1.0,38
ENSG00000196431,0.0,20
ENSG00000182759,0.0,12
ENSG00000237765,1.0,35
ENSG00000105369,0.0,13
ENSG00000120907,0.0,10
ENSG00000089116,0.0,12
ENSG00000256713,0.0,0
ENSG00000171451,0.0,33
ENSG00000158006,1.0,34
ENSG00000141971,1.0,27
ENSG00000186579,0.0,2
ENSG00000166340,1.0,34
ENSG00000089154,1.0,36
ENSG00000100225,1.0,26
ENSG00000166960,0.0,8
ENSG00000173976,0.0,25
ENSG00000116574,0.0,20
ENSG00000140961,0.0,32
ENSG00000141076,1.0,35
ENSG00000103222,1.0,36
ENSG00000171611,0.0,22
ENSG00000143614,1.0,37
ENSG00000169583,1.0,27
ENSG00000080824,1.0,37
ENSG00000169856,0.0,11
ENSG00000137801,1.0,37
ENSG00000058091,0.0,17
ENSG00000106624,0.0,17
ENSG00000185467,0.0,29
ENSG00000236981,0.0,7
ENSG00000068831,0.0,14
ENSG00000170266,1.0,35
ENSG00000065883,1.0,30
ENSG00000146066,1.0,39
ENSG00000189068,0.0,13
ENSG00000197651,0.0,14
ENSG00000174611,0.0,15
ENSG00000118898,1.0,37
ENSG00000139890,0.0,23
ENSG00000106541,0.0,23
ENSG00000067334,1.0,38
ENSG00000176641,1.0,33
ENSG00000103067,1.0,33
ENSG00000023228,1.0,24
ENSG00000167588,0.0,28
ENSG00000130775,0.0,17
ENSG00000143443,0.0,39
ENSG00000161558,0.0,24
ENSG00000001460,1.0,30
ENSG00000138286,1.0,23
ENSG00000197111,1.0,37
ENSG00000131165,1.0,31
ENSG00000184210,0.0,13
ENSG00000072849,1.0,36
ENSG00000197321,1.0,24
ENSG00000167208,0.0,9
ENSG00000110906,1.0,38
ENSG00000109118,1.0,34
ENSG00000182919,0.0,21
ENSG00000106714,0.0,2
ENSG00000107672,1.0,32
ENSG00000140391,1.0,30
ENSG00000154451,0.0,24
ENSG00000107099,0.0,10
ENSG00000197093,0.0,24
ENSG00000130035,0.0,6
ENSG00000184304,0.0,19
ENSG00000070831,1.0,35
ENSG00000122484,1.0,31
ENSG00000198382,1.0,26
ENSG00000104361,1.0,24
ENSG00000060491,1.0,37
ENSG00000198467,1.0,30
ENSG00000006468,0.0,13
ENSG00000237541,0.0,8
ENSG00000214756,0.0,35
ENSG00000232399,0.0,0
ENSG00000184261,0.0,23
ENSG00000156521,1.0,39
ENSG00000106038,0.0,19
ENSG00000165188,0.0,23
ENSG00000106682,1.0,36
ENSG00000105072,0.0,27
ENSG00000120063,1.0,36
ENSG00000118972,0.0,12
ENSG00000152944,1.0,32
ENSG00000167747,1.0,32
ENSG00000127870,1.0,38
ENSG00000173153,1.0,23
ENSG00000205279,0.0,13
ENSG00000134851,1.0,34
ENSG00000160877,1.0,40
ENSG00000205883,0.0,10
ENSG00000100276,0.0,36
ENSG00000181626,0.0,4
ENSG00000179178,0.0,27
ENSG00000124507,0.0,16
ENSG00000040531,1.0,31
ENSG00000119650,1.0,41
ENSG00000134532,0.0,12
ENSG00000028137,0.0,9
ENSG00000116062,1.0,34
ENSG00000136758,1.0,33
ENSG00000119431,1.0,34
ENSG00000119147,0.0,15
ENSG00000185245,0.0,33
ENSG00000196378,0.0,32
ENSG00000229314,0.0,4
ENSG00000079689,0.0,17
ENSG00000182362,1.0,28
ENSG00000034677,1.0,14
ENSG00000120093,0.0,26
ENSG00000154479,0.0,12
ENSG00000100938,1.0,40
ENSG00000036530,0.0,12
ENSG00000166228,1.0,39
ENSG00000100129,1.0,36
ENSG00000173040,0.0,33
ENSG00000157184,1.0,31
ENSG00000186265,0.0,18
ENSG00000081479,0.0,7
ENSG00000185774,0.0,16
ENSG00000154016,0.0,2
ENSG00000187730,0.0,12
ENSG00000101104,1.0,38
ENSG00000062038,1.0,40
ENSG00000091651,1.0,27
ENSG00000204228,1.0,24
ENSG00000198901,1.0,29
ENSG00000137714,1.0,27
ENSG00000134061,0.0,17
ENSG00000175395,0.0,21
ENSG00000168806,1.0,32
ENSG00000109790,1.0,21
ENSG00000189058,0.0,21
ENSG00000161980,1.0,28
ENSG00000188158,1.0,30
ENSG00000100441,1.0,32
ENSG00000115446,1.0,37
ENSG00000099866,0.0,15
ENSG00000061492,0.0,10
ENSG00000198839,1.0,20
ENSG00000122592,1.0,30
ENSG00000130363,1.0,24
ENSG00000104870,1.0,18
ENSG00000089505,0.0,27
ENSG00000112667,1.0,32
ENSG00000042781,0.0,14
ENSG00000083544,1.0,25
ENSG00000129562,1.0,32
ENSG00000164284,1.0,31
ENSG00000149516,0.0,23
ENSG00000095932,0.0,10
ENSG00000138944,0.0,24
ENSG00000185621,1.0,19
