gene_id,GE,Pattern_1,Pattern_2
ENSG00000166716,1.0,36,35
ENSG00000108395,1.0,34,30
ENSG00000116857,1.0,47,35
ENSG00000167216,1.0,34,29
ENSG00000132840,0.0,35,22
ENSG00000176209,1.0,32,28
ENSG00000141446,1.0,35,32
ENSG00000137831,1.0,25,32
ENSG00000103852,1.0,29,33
ENSG00000164897,1.0,46,38
ENSG00000006756,0.0,34,31
ENSG00000172403,0.0,22,28
ENSG00000184828,0.0,35,39
ENSG00000151498,1.0,39,31
ENSG00000130433,1.0,35,28
ENSG00000149571,0.0,43,35
ENSG00000163638,1.0,44,34
ENSG00000181803,0.0,24,23
ENSG00000133398,1.0,41,34
ENSG00000173611,1.0,36,28
ENSG00000138079,0.0,33,25
ENSG00000147813,1.0,45,40
ENSG00000182831,1.0,46,26
ENSG00000158553,0.0,37,29
ENSG00000152217,0.0,43,36
ENSG00000100625,1.0,37,32
ENSG00000119688,1.0,45,31
ENSG00000051596,1.0,15,7
ENSG00000204592,1.0,41,29
ENSG00000134827,0.0,33,22
ENSG00000008056,0.0,25,29
ENSG00000131171,1.0,22,21
ENSG00000188672,0.0,24,12
ENSG00000053371,1.0,42,36
ENSG00000128965,0.0,43,26
ENSG00000244414,0.0,7,13
ENSG00000139116,1.0,27,25
ENSG00000229809,1.0,34,33
ENSG00000169583,0.0,34,29
ENSG00000162616,1.0,21,14
ENSG00000128524,1.0,44,36
ENSG00000244509,1.0,39,30
ENSG00000165675,1.0,35,24
ENSG00000091490,1.0,33,37
ENSG00000177873,0.0,42,31
ENSG00000204574,1.0,43,33
ENSG00000169925,1.0,45,34
ENSG00000187642,0.0,22,29
ENSG00000115073,1.0,41,33
ENSG00000119185,1.0,40,35
ENSG00000138777,1.0,40,27
ENSG00000218357,0.0,40,28
ENSG00000236981,0.0,23,21
ENSG00000196821,1.0,37,31
ENSG00000169906,0.0,31,17
ENSG00000083307,0.0,30,35
ENSG00000128228,1.0,44,33
ENSG00000171772,0.0,34,10
ENSG00000167634,0.0,25,21
ENSG00000135723,1.0,37,42
ENSG00000204946,0.0,40,24
ENSG00000100302,0.0,38,36
ENSG00000074047,1.0,43,35
ENSG00000196437,1.0,39,40
ENSG00000077984,0.0,45,23
ENSG00000000419,1.0,32,35
ENSG00000135002,1.0,34,23
ENSG00000174950,0.0,42,29
ENSG00000143502,0.0,36,30
ENSG00000117419,1.0,38,33
ENSG00000162711,0.0,28,27
ENSG00000212724,0.0,26,18
ENSG00000184113,0.0,37,37
ENSG00000132749,0.0,29,36
ENSG00000007541,1.0,45,37
ENSG00000119596,1.0,34,32
ENSG00000152785,0.0,26,34
ENSG00000108518,1.0,41,38
ENSG00000115145,0.0,32,28
