gene_id,GE,Pattern_1,Pattern_2
ENSG00000164284,1.0,45,38
ENSG00000167216,0.0,26,23
ENSG00000116857,1.0,46,33
ENSG00000144015,0.0,4,2
ENSG00000164871,0.0,5,2
ENSG00000196793,1.0,44,32
ENSG00000132840,0.0,20,4
ENSG00000091527,1.0,39,36
ENSG00000198643,0.0,22,10
ENSG00000130783,0.0,29,25
ENSG00000083807,0.0,30,12
ENSG00000151498,1.0,36,32
ENSG00000130433,0.0,16,18
ENSG00000196092,0.0,28,34
ENSG00000258920,0.0,31,31
ENSG00000189164,0.0,41,24
ENSG00000177963,1.0,39,42
ENSG00000163638,0.0,31,35
ENSG00000115808,1.0,35,35
ENSG00000166016,1.0,26,35
ENSG00000133398,1.0,46,42
ENSG00000169057,1.0,23,36
ENSG00000029153,1.0,20,38
ENSG00000119688,1.0,41,33
ENSG00000104442,1.0,36,32
ENSG00000135446,1.0,45,31
ENSG00000132341,1.0,43,31
ENSG00000131171,1.0,30,33
ENSG00000188672,0.0,8,6
ENSG00000158195,1.0,29,28
ENSG00000172869,1.0,28,37
ENSG00000053371,1.0,38,32
ENSG00000119242,0.0,26,28
ENSG00000041982,1.0,39,34
ENSG00000139116,1.0,29,31
ENSG00000180549,0.0,10,13
ENSG00000162616,1.0,37,30
ENSG00000073737,0.0,21,12
ENSG00000128524,1.0,44,29
ENSG00000129493,1.0,28,34
ENSG00000154328,1.0,38,27
ENSG00000126752,0.0,7,3
ENSG00000165675,1.0,26,27
ENSG00000177873,0.0,35,27
ENSG00000115073,1.0,39,36
ENSG00000187642,0.0,17,7
ENSG00000119185,1.0,18,30
ENSG00000176834,1.0,43,33
ENSG00000136381,1.0,41,34
ENSG00000134627,0.0,24,11
ENSG00000083307,1.0,29,33
ENSG00000115652,1.0,33,31
ENSG00000151615,0.0,18,31
ENSG00000183323,0.0,29,8
ENSG00000242259,1.0,40,34
ENSG00000167634,0.0,26,16
ENSG00000148925,1.0,34,34
ENSG00000198720,1.0,21,29
ENSG00000107796,1.0,27,30
ENSG00000100302,0.0,22,29
ENSG00000120280,0.0,8,3
ENSG00000086730,0.0,18,6
ENSG00000165762,0.0,38,25
ENSG00000143502,0.0,25,30
ENSG00000212724,0.0,26,11
ENSG00000132749,1.0,44,30
ENSG00000166126,0.0,19,33
ENSG00000167625,1.0,39,29
ENSG00000030419,0.0,38,36
ENSG00000116661,1.0,25,31
ENSG00000149308,1.0,40,36
ENSG00000069188,1.0,28,34
ENSG00000065609,0.0,14,29
ENSG00000183309,1.0,46,31
ENSG00000204498,1.0,36,26
ENSG00000119048,1.0,42,31
ENSG00000174446,1.0,42,31
ENSG00000167705,0.0,32,29
ENSG00000126814,1.0,44,38
ENSG00000176593,0.0,42,36
ENSG00000136141,0.0,21,39
ENSG00000164306,1.0,35,28
ENSG00000102572,1.0,40,33
ENSG00000141738,1.0,40,25
ENSG00000101825,0.0,17,28
ENSG00000117016,1.0,27,33
ENSG00000177156,1.0,35,31
ENSG00000115548,1.0,34,33
ENSG00000197632,0.0,13,9
ENSG00000012174,0.0,28,30
ENSG00000183034,0.0,23,22
ENSG00000159588,0.0,44,16
ENSG00000096746,1.0,44,38
ENSG00000008516,1.0,37,32
ENSG00000151445,1.0,40,35
ENSG00000072803,1.0,35,39
ENSG00000187242,0.0,20,8
ENSG00000143653,1.0,38,29
ENSG00000140400,1.0,46,21
ENSG00000168143,0.0,25,32
ENSG00000166348,1.0,45,5
ENSG00000179603,0.0,21,32
ENSG00000146285,0.0,22,23
ENSG00000158104,0.0,13,16
ENSG00000122641,0.0,24,31
ENSG00000171489,0.0,1,0
ENSG00000136158,1.0,45,33
ENSG00000116761,1.0,31,31
ENSG00000162975,0.0,23,28
ENSG00000105650,0.0,14,9
ENSG00000196800,0.0,18,7
ENSG00000107807,0.0,19,27
ENSG00000132141,0.0,17,28
ENSG00000101152,1.0,30,30
ENSG00000129596,1.0,39,34
