gene_id,GE,Pattern_1,Pattern_2
ENSG00000107872,1.0,75,41
ENSG00000173928,0.0,55,54
ENSG00000162078,0.0,37,30
ENSG00000087495,0.0,59,13
ENSG00000204920,0.0,60,36
ENSG00000118217,1.0,75,37
ENSG00000010219,0.0,28,30
ENSG00000146938,1.0,79,25
ENSG00000153237,0.0,86,28
ENSG00000186081,0.0,41,26
ENSG00000170248,1.0,75,44
ENSG00000183527,1.0,89,51
ENSG00000143797,1.0,73,26
ENSG00000072682,0.0,55,30
ENSG00000255378,0.0,2,1
ENSG00000140526,1.0,64,43
ENSG00000100968,1.0,64,42
ENSG00000176155,0.0,55,29
ENSG00000186230,1.0,73,55
ENSG00000144848,1.0,83,46
ENSG00000196510,1.0,73,43
ENSG00000100239,1.0,56,25
ENSG00000186635,1.0,49,50
ENSG00000221949,0.0,83,40
ENSG00000181722,0.0,40,40
ENSG00000127445,1.0,65,43
ENSG00000179965,1.0,54,45
ENSG00000158516,0.0,51,38
ENSG00000196357,0.0,71,43
ENSG00000178974,1.0,64,36
ENSG00000148386,0.0,25,20
ENSG00000147145,1.0,56,33
ENSG00000136110,1.0,77,41
ENSG00000186207,0.0,93,40
ENSG00000112175,0.0,91,27
ENSG00000148411,1.0,78,37
ENSG00000170396,0.0,57,25
ENSG00000147041,0.0,12,12
ENSG00000101230,0.0,64,26
ENSG00000146166,0.0,23,26
ENSG00000008382,1.0,66,35
ENSG00000072195,0.0,57,29
ENSG00000139211,1.0,87,42
ENSG00000243284,0.0,29,16
ENSG00000203963,0.0,37,21
ENSG00000244005,1.0,75,49
ENSG00000143437,1.0,67,36
ENSG00000132953,1.0,66,41
ENSG00000188486,1.0,79,54
ENSG00000133816,0.0,35,31
ENSG00000182759,0.0,75,16
ENSG00000132681,0.0,37,21
ENSG00000120907,0.0,66,30
ENSG00000111875,1.0,90,47
ENSG00000179021,1.0,87,45
ENSG00000143801,1.0,65,39
ENSG00000168263,0.0,30,51
ENSG00000213347,0.0,66,40
ENSG00000089116,0.0,97,47
ENSG00000205221,0.0,26,19
ENSG00000171451,1.0,83,40
ENSG00000158006,1.0,60,36
ENSG00000141971,1.0,66,38
ENSG00000100225,1.0,62,33
ENSG00000089154,1.0,82,47
ENSG00000140043,0.0,59,41
ENSG00000136197,1.0,73,50
ENSG00000176244,1.0,46,32
ENSG00000116574,1.0,32,13
ENSG00000140961,0.0,47,19
ENSG00000205212,0.0,41,27
ENSG00000197461,1.0,89,15
ENSG00000213366,0.0,45,21
ENSG00000141316,0.0,34,23
ENSG00000135837,1.0,76,43
ENSG00000173011,1.0,71,47
ENSG00000160654,0.0,36,23
ENSG00000166501,0.0,59,21
ENSG00000122035,0.0,59,33
ENSG00000243232,1.0,84,40
ENSG00000147526,0.0,81,42
ENSG00000137801,1.0,85,47
ENSG00000122136,0.0,23,17
ENSG00000196724,0.0,69,50
ENSG00000058091,1.0,68,38
ENSG00000152467,0.0,76,28
ENSG00000106624,1.0,78,38
