gene_id,GE,Pattern_2
ENSG00000107362,1.0,40
ENSG00000173928,0.0,33
ENSG00000162078,0.0,76
ENSG00000197016,0.0,54
ENSG00000118418,1.0,61
ENSG00000153237,0.0,70
ENSG00000186081,0.0,81
ENSG00000000005,0.0,70
ENSG00000157211,0.0,61
ENSG00000101638,0.0,78
ENSG00000100426,1.0,49
ENSG00000177674,1.0,37
ENSG00000108797,1.0,76
ENSG00000144848,1.0,35
ENSG00000196510,1.0,38
ENSG00000133997,1.0,47
ENSG00000185246,1.0,41
ENSG00000181722,1.0,39
ENSG00000113211,0.0,66
ENSG00000154359,1.0,41
ENSG00000103269,0.0,65
ENSG00000070882,1.0,42
ENSG00000179965,0.0,47
ENSG00000100749,1.0,43
ENSG00000178974,1.0,41
ENSG00000100156,0.0,81
ENSG00000148386,0.0,70
ENSG00000162783,1.0,51
ENSG00000136295,1.0,62
ENSG00000112175,0.0,48
ENSG00000110801,1.0,46
ENSG00000170396,0.0,71
ENSG00000147041,0.0,48
ENSG00000101230,0.0,70
ENSG00000099284,0.0,75
ENSG00000122376,1.0,36
ENSG00000140688,1.0,44
ENSG00000008382,1.0,34
ENSG00000044574,1.0,32
ENSG00000144868,0.0,74
ENSG00000203963,0.0,59
ENSG00000144681,0.0,73
ENSG00000112701,1.0,41
ENSG00000176428,0.0,79
ENSG00000080371,1.0,45
ENSG00000132953,1.0,37
ENSG00000121274,1.0,39
ENSG00000129744,0.0,65
ENSG00000180386,0.0,60
ENSG00000186141,1.0,33
ENSG00000196431,0.0,62
ENSG00000141580,1.0,49
ENSG00000134901,0.0,75
ENSG00000111875,1.0,33
ENSG00000150540,1.0,54
ENSG00000167130,1.0,50
ENSG00000143801,0.0,77
ENSG00000205221,0.0,60
ENSG00000110148,0.0,74
ENSG00000256713,0.0,4
ENSG00000158006,1.0,44
ENSG00000186579,0.0,12
ENSG00000141971,1.0,46
ENSG00000100225,1.0,41
ENSG00000166340,1.0,51
ENSG00000089154,1.0,35
ENSG00000140043,0.0,40
ENSG00000004961,1.0,51
ENSG00000173976,0.0,43
ENSG00000140961,0.0,72
ENSG00000205212,0.0,51
ENSG00000120915,1.0,79
ENSG00000186787,0.0,28
ENSG00000203791,1.0,37
ENSG00000135837,1.0,34
ENSG00000103222,1.0,44
ENSG00000031698,1.0,56
ENSG00000143614,1.0,37
ENSG00000161217,1.0,44
ENSG00000161896,0.0,78
ENSG00000122136,0.0,57
ENSG00000004809,0.0,65
ENSG00000124198,1.0,47
ENSG00000058091,0.0,63
ENSG00000104901,0.0,73
ENSG00000197256,0.0,67
ENSG00000204347,0.0,74
ENSG00000112378,0.0,73
ENSG00000068831,1.0,41
ENSG00000170231,0.0,63
ENSG00000136813,1.0,47
ENSG00000065883,1.0,47
ENSG00000124151,1.0,28
ENSG00000146066,1.0,36
ENSG00000161888,0.0,41
ENSG00000253148,0.0,41
ENSG00000166455,0.0,47
ENSG00000167986,1.0,52
ENSG00000139890,1.0,65
ENSG00000176641,0.0,72
ENSG00000103067,1.0,67
ENSG00000257591,0.0,52
ENSG00000167588,0.0,59
ENSG00000072134,0.0,42
ENSG00000051108,1.0,35
ENSG00000157657,0.0,61
ENSG00000143443,1.0,47
ENSG00000001460,0.0,50
ENSG00000184486,0.0,79
ENSG00000176095,1.0,45
ENSG00000167565,1.0,41
ENSG00000160145,0.0,69
ENSG00000072849,1.0,36
ENSG00000143257,0.0,71
ENSG00000134057,0.0,31
ENSG00000167208,1.0,38
ENSG00000110906,1.0,37
ENSG00000179071,0.0,56
ENSG00000109118,1.0,47
ENSG00000203737,0.0,43
ENSG00000173432,0.0,41
ENSG00000128310,0.0,61
ENSG00000107099,1.0,50
ENSG00000197093,1.0,73
ENSG00000130035,0.0,73
ENSG00000184304,0.0,64
ENSG00000167536,1.0,41
ENSG00000070831,1.0,40
ENSG00000161544,0.0,78
ENSG00000204314,0.0,86
ENSG00000177565,1.0,47
ENSG00000177570,0.0,69
ENSG00000183753,0.0,0
ENSG00000178171,0.0,78
ENSG00000196735,1.0,59
ENSG00000237541,1.0,78
ENSG00000139116,0.0,70
ENSG00000206199,0.0,75
ENSG00000214756,0.0,30
ENSG00000166073,0.0,75
ENSG00000185896,1.0,50
ENSG00000257949,1.0,45
ENSG00000188938,1.0,25
ENSG00000116031,0.0,79
ENSG00000169612,1.0,41
ENSG00000161395,1.0,53
ENSG00000139514,1.0,53
ENSG00000159086,1.0,40
ENSG00000105072,1.0,44
ENSG00000180884,1.0,58
ENSG00000068078,0.0,76
ENSG00000148985,1.0,55
ENSG00000100027,1.0,48
ENSG00000156500,0.0,43
ENSG00000205279,0.0,67
ENSG00000187223,0.0,69
ENSG00000169567,1.0,31
ENSG00000171873,0.0,83
ENSG00000112584,1.0,80
ENSG00000166821,0.0,50
ENSG00000181626,0.0,60
ENSG00000179178,0.0,75
ENSG00000040531,1.0,40
ENSG00000134532,0.0,77
ENSG00000112159,1.0,41
ENSG00000126214,1.0,46
ENSG00000178209,1.0,43
ENSG00000185245,1.0,62
ENSG00000115652,1.0,56
ENSG00000196378,1.0,36
ENSG00000182362,1.0,47
ENSG00000171819,0.0,39
ENSG00000142538,0.0,79
ENSG00000116678,0.0,76
ENSG00000132952,1.0,29
ENSG00000140527,0.0,57
ENSG00000182346,0.0,51
ENSG00000100129,1.0,35
ENSG00000140365,1.0,41
ENSG00000196313,1.0,17
ENSG00000140598,1.0,38
ENSG00000170485,0.0,79
ENSG00000157184,1.0,44
ENSG00000172780,1.0,45
ENSG00000249709,1.0,38
ENSG00000186265,0.0,44
ENSG00000173401,0.0,50
ENSG00000172062,1.0,4
ENSG00000198336,0.0,54
ENSG00000154016,1.0,2
ENSG00000103091,1.0,36
ENSG00000157999,0.0,48
ENSG00000176681,1.0,1
ENSG00000187730,0.0,78
ENSG00000137880,1.0,53
ENSG00000101104,1.0,50
ENSG00000167104,0.0,76
ENSG00000091651,0.0,39
ENSG00000188175,0.0,74
ENSG00000137714,1.0,38
ENSG00000147649,1.0,44
ENSG00000127529,0.0,54
ENSG00000160951,0.0,68
ENSG00000116690,0.0,64
ENSG00000125522,0.0,72
ENSG00000163453,1.0,77
ENSG00000011021,1.0,44
ENSG00000105619,1.0,40
ENSG00000100441,1.0,52
ENSG00000121417,1.0,47
ENSG00000179941,0.0,42
ENSG00000140932,0.0,74
ENSG00000182676,0.0,46
ENSG00000104870,1.0,50
ENSG00000143878,1.0,74
ENSG00000249104,0.0,2
ENSG00000154309,0.0,55
ENSG00000089505,0.0,35
ENSG00000042781,0.0,56
ENSG00000167914,0.0,64
ENSG00000136720,1.0,74
ENSG00000171853,1.0,33
ENSG00000204138,1.0,28
ENSG00000102900,1.0,47
ENSG00000095932,0.0,71
ENSG00000130826,1.0,52
ENSG00000175329,0.0,63
ENSG00000138944,0.0,81
ENSG00000101349,0.0,72
ENSG00000147905,1.0,49
ENSG00000147596,0.0,82
ENSG00000106588,1.0,39
ENSG00000214324,0.0,79
ENSG00000182472,1.0,58
ENSG00000166426,0.0,84
ENSG00000179388,1.0,75
ENSG00000134247,0.0,77
ENSG00000134627,1.0,48
ENSG00000132823,1.0,34
ENSG00000173464,0.0,66
ENSG00000182791,0.0,42
ENSG00000173486,1.0,48
ENSG00000013297,0.0,81
ENSG00000095261,1.0,39
ENSG00000126767,1.0,44
ENSG00000135912,1.0,47
ENSG00000167874,1.0,26
ENSG00000132932,0.0,80
ENSG00000133069,0.0,72
ENSG00000125821,1.0,52
ENSG00000196873,0.0,0
ENSG00000101276,0.0,69
ENSG00000100448,1.0,64
ENSG00000126259,0.0,87
ENSG00000185479,0.0,60
ENSG00000188739,1.0,40
ENSG00000232774,0.0,71
ENSG00000115266,0.0,78
ENSG00000135390,1.0,59
ENSG00000151413,0.0,45
ENSG00000111249,0.0,82
ENSG00000188107,0.0,28
ENSG00000140199,1.0,39
ENSG00000067704,1.0,31
ENSG00000120262,0.0,66
ENSG00000148484,1.0,54
ENSG00000170989,1.0,61
ENSG00000140326,1.0,56
ENSG00000100593,0.0,80
ENSG00000168140,1.0,58
ENSG00000132305,1.0,48
ENSG00000123342,1.0,68
ENSG00000180592,0.0,69
ENSG00000181938,0.0,40
ENSG00000106049,1.0,40
ENSG00000152595,0.0,68
