gene_id,GE,Pattern_1,Pattern_2
ENSG00000169217,1.0,99,25
ENSG00000107872,1.0,96,20
ENSG00000173928,0.0,82,25
ENSG00000110244,0.0,74,14
ENSG00000148346,0.0,87,26
ENSG00000121552,0.0,26,7
ENSG00000129226,1.0,104,25
ENSG00000068976,0.0,99,15
ENSG00000124356,1.0,76,19
ENSG00000186081,0.0,60,14
ENSG00000096401,1.0,85,23
ENSG00000143797,1.0,72,16
ENSG00000072682,1.0,81,23
ENSG00000124786,1.0,89,26
ENSG00000255378,0.0,1,0
ENSG00000242550,0.0,29,14
ENSG00000100968,1.0,90,23
ENSG00000108797,1.0,96,25
ENSG00000133997,1.0,70,24
ENSG00000188056,0.0,38,8
ENSG00000127445,1.0,88,23
ENSG00000113211,0.0,24,11
ENSG00000165376,0.0,32,20
ENSG00000164334,0.0,29,15
ENSG00000169684,0.0,53,5
ENSG00000173915,1.0,85,20
ENSG00000136110,0.0,40,13
ENSG00000136295,1.0,108,24
ENSG00000112175,0.0,18,3
ENSG00000110801,1.0,74,22
ENSG00000148411,1.0,91,25
ENSG00000099284,1.0,67,12
ENSG00000184330,0.0,42,11
ENSG00000008382,1.0,82,20
ENSG00000044574,1.0,87,22
ENSG00000100012,0.0,55,17
ENSG00000144681,0.0,71,17
ENSG00000132464,0.0,33,17
ENSG00000088992,0.0,57,15
ENSG00000132953,1.0,58,26
ENSG00000121274,1.0,72,22
ENSG00000141026,1.0,87,23
ENSG00000180386,0.0,43,21
ENSG00000186141,1.0,77,23
ENSG00000157106,1.0,65,18
ENSG00000141580,1.0,93,27
ENSG00000196431,0.0,57,12
ENSG00000237765,1.0,102,22
ENSG00000111875,1.0,75,20
ENSG00000105369,0.0,85,16
ENSG00000150540,0.0,52,21
ENSG00000179021,1.0,87,20
ENSG00000143801,1.0,79,23
ENSG00000168263,0.0,34,12
ENSG00000213347,1.0,95,21
ENSG00000186579,0.0,3,0
ENSG00000004961,1.0,72,27
ENSG00000136197,1.0,73,25
ENSG00000179562,1.0,91,25
ENSG00000197461,0.0,106,17
ENSG00000120915,0.0,54,10
ENSG00000213366,1.0,70,23
ENSG00000186787,0.0,44,22
ENSG00000203791,1.0,66,21
ENSG00000138346,0.0,75,24
ENSG00000142224,0.0,39,16
ENSG00000135837,1.0,82,20
ENSG00000103222,1.0,84,20
ENSG00000166501,0.0,41,13
ENSG00000157322,0.0,14,10
ENSG00000115325,1.0,83,20
ENSG00000161217,1.0,88,25
ENSG00000169856,0.0,87,22
ENSG00000196724,0.0,81,24
ENSG00000124198,1.0,88,26
ENSG00000152467,0.0,75,22
ENSG00000004809,0.0,56,16
ENSG00000204347,0.0,61,18
ENSG00000164707,0.0,64,18
ENSG00000052126,1.0,82,18
ENSG00000170231,0.0,61,11
ENSG00000065883,1.0,86,23
ENSG00000164128,0.0,36,12
ENSG00000139656,0.0,54,20
ENSG00000174611,0.0,63,16
ENSG00000118898,1.0,86,23
ENSG00000011201,0.0,52,15
ENSG00000186860,0.0,43,22
ENSG00000067334,1.0,82,24
ENSG00000138801,1.0,81,21
ENSG00000206073,0.0,28,11
ENSG00000103067,0.0,88,18
ENSG00000257591,0.0,72,21
ENSG00000072134,1.0,53,22
ENSG00000051108,1.0,83,22
ENSG00000143443,1.0,81,25
ENSG00000001460,1.0,95,22
ENSG00000184486,0.0,75,9
ENSG00000197111,1.0,93,23
ENSG00000107581,1.0,83,23
ENSG00000135218,0.0,39,12
ENSG00000158528,0.0,59,11
ENSG00000160145,0.0,46,13
ENSG00000184210,0.0,40,7
ENSG00000162222,1.0,95,21
ENSG00000072849,1.0,90,28
ENSG00000076770,0.0,73,8
ENSG00000108830,0.0,94,24
ENSG00000203737,0.0,30,16
ENSG00000107672,1.0,72,25
ENSG00000091490,0.0,55,11
ENSG00000140391,1.0,71,17
ENSG00000154451,0.0,27,8
ENSG00000185664,0.0,81,16
ENSG00000166780,1.0,63,23
ENSG00000197093,1.0,82,14
ENSG00000184304,1.0,84,13
ENSG00000110881,0.0,85,24
ENSG00000183918,0.0,10,1
ENSG00000184500,1.0,66,19
ENSG00000181733,0.0,44,15
ENSG00000104361,1.0,86,25
ENSG00000060491,1.0,99,25
ENSG00000177138,0.0,21,2
ENSG00000183753,0.0,0,0
ENSG00000198467,1.0,96,18
ENSG00000237541,0.0,32,9
ENSG00000167261,0.0,68,16
ENSG00000170776,1.0,93,21
ENSG00000139116,0.0,63,9
ENSG00000116031,0.0,39,9
ENSG00000099139,0.0,76,15
ENSG00000156521,1.0,82,24
ENSG00000165188,0.0,61,18
ENSG00000106682,1.0,90,19
ENSG00000125999,0.0,44,17
ENSG00000180884,0.0,76,21
ENSG00000068078,0.0,91,22
ENSG00000114812,0.0,69,15
ENSG00000120063,1.0,94,24
ENSG00000100027,0.0,64,14
ENSG00000118972,0.0,53,8
ENSG00000167941,0.0,80,22
ENSG00000205279,0.0,45,15
ENSG00000188613,0.0,82,23
ENSG00000132821,0.0,72,23
ENSG00000135486,1.0,93,20
ENSG00000160877,1.0,98,22
ENSG00000151689,1.0,72,19
ENSG00000143333,0.0,77,27
ENSG00000179178,0.0,68,21
ENSG00000028137,0.0,80,20
ENSG00000115652,1.0,84,21
ENSG00000129993,0.0,77,21
ENSG00000079689,0.0,51,9
ENSG00000198825,1.0,67,20
ENSG00000182362,1.0,95,17
ENSG00000034677,1.0,33,9
ENSG00000171819,0.0,51,24
ENSG00000100938,1.0,89,25
ENSG00000182346,0.0,31,4
ENSG00000166228,1.0,77,26
ENSG00000241553,1.0,88,24
ENSG00000164675,0.0,56,5
ENSG00000157184,1.0,79,19
ENSG00000172780,1.0,81,22
ENSG00000249709,0.0,76,23
ENSG00000198780,0.0,61,9
ENSG00000161638,1.0,99,22
ENSG00000173320,0.0,40,12
ENSG00000105821,1.0,94,23
ENSG00000185774,0.0,29,7
ENSG00000172476,0.0,50,17
ENSG00000116525,1.0,80,24
ENSG00000128283,1.0,92,21
ENSG00000187730,0.0,67,24
ENSG00000137880,0.0,89,26
ENSG00000101104,1.0,81,20
ENSG00000136810,1.0,90,22
ENSG00000198901,1.0,80,16
ENSG00000062282,0.0,77,18
ENSG00000123989,1.0,95,23
ENSG00000160951,1.0,94,23
ENSG00000125522,0.0,64,24
ENSG00000122591,1.0,92,14
ENSG00000166670,0.0,31,11
ENSG00000109790,1.0,72,19
ENSG00000100441,1.0,89,26
ENSG00000101181,1.0,72,25
ENSG00000043143,1.0,89,23
ENSG00000115446,1.0,84,24
ENSG00000157315,0.0,64,21
ENSG00000140932,0.0,68,13
ENSG00000182676,0.0,92,19
ENSG00000188269,0.0,30,12
ENSG00000104870,1.0,81,24
ENSG00000154309,1.0,76,20
ENSG00000204439,1.0,104,24
ENSG00000042781,0.0,24,14
ENSG00000136720,1.0,94,25
ENSG00000083544,1.0,78,15
ENSG00000129562,1.0,87,29
ENSG00000164284,1.0,81,23
ENSG00000179222,1.0,72,25
ENSG00000138944,0.0,71,20
ENSG00000243073,0.0,13,6
ENSG00000111344,0.0,54,14
ENSG00000106588,1.0,84,26
ENSG00000166426,0.0,57,10
ENSG00000253548,0.0,17,2
ENSG00000134247,1.0,67,18
ENSG00000134627,0.0,40,11
ENSG00000066455,1.0,71,21
ENSG00000164967,1.0,87,12
ENSG00000144426,1.0,95,17
ENSG00000176473,1.0,72,12
ENSG00000178952,1.0,90,22
ENSG00000196923,1.0,97,20
ENSG00000153879,1.0,78,20
ENSG00000171847,0.0,61,17
ENSG00000132932,0.0,54,13
ENSG00000133069,0.0,76,20
ENSG00000196873,0.0,1,0
ENSG00000104435,1.0,62,12
ENSG00000100580,1.0,70,24
ENSG00000160870,0.0,70,17
ENSG00000126259,0.0,86,19
ENSG00000187855,0.0,47,9
ENSG00000168634,0.0,34,7
ENSG00000161526,1.0,94,23
ENSG00000151413,0.0,38,17
ENSG00000113569,1.0,86,22
ENSG00000100442,1.0,90,21
ENSG00000099864,0.0,82,17
ENSG00000132423,1.0,55,19
ENSG00000188107,0.0,14,2
ENSG00000198356,1.0,81,20
ENSG00000124067,1.0,91,23
ENSG00000104723,1.0,62,18
ENSG00000100593,0.0,60,11
ENSG00000107859,0.0,93,17
ENSG00000123342,1.0,95,25
ENSG00000187736,1.0,77,25
ENSG00000163440,0.0,20,14
ENSG00000085871,0.0,68,13
ENSG00000181938,1.0,61,16
ENSG00000106049,1.0,93,22
ENSG00000133321,0.0,84,11
ENSG00000150433,1.0,68,18
ENSG00000104331,1.0,79,24
ENSG00000101391,1.0,81,24
ENSG00000135070,1.0,81,26
ENSG00000145451,0.0,18,4
ENSG00000186714,0.0,30,5
